Protein,p_ID
COPS6,p001186
TMED1,p001187
ADAP1,p001188
RNF5,p001189
SKIV2L,p001190
SPTBN2,p001191
SYN1,p001192
ADRM1,p001193
WWP1,p001194
RER1,p001195
CD160,p001196
VEZF1,p001197
PKP3,p001198
GALNT6,p001199
NXPH3,p001200
HSP90AB1,p001201
ADAT1,p001202
CA14,p001203
RABGAP1,p001204
B3GAT3,p001205
SLC27A5,p001206
KCNH3,p001207
NTSR2,p001208
GMEB2,p001209
RPL13A,p001210
FHOD1,p001211
C11orf2,p001212
IL17C,p001213
POLM,p001214
SAC3D1,p001215
CCDC106,p001216
SNX8,p001217
TFPT,p001218
TMOD4,p001219
ANAPC2,p001220
SERTAD3,p001221
SLC25A24,p001222
FTSJ2,p001223
PILRA,p001224
C11orf51,p001225
LRP10,p001226
LAT2,p001227
CHMP4A,p001228
TMEM208,p001229
AP2A1,p001230
ZNHIT2,p001231
QPRT,p001232
CIDEB,p001233
CHMP2A,p001234
RNF115,p001235
TOR1B,p001236
CNOT3,p001237
ARHGEF10,p001238
ZNF592,p001239
LRRC14,p001240
GREB1,p001241
DHX34,p001242
SETD1A,p001243
MLL4,p001244
KIAA0195,p001245
DHCR24,p001246
ARHGEF17,p001247
TRIM14,p001248
PLEKHM1,p001249
FARP2,p001250
OSBPL2,p001251
SV2A,p001252
SEC16A,p001253
HELZ,p001254
PDAP1,p001255
PLEKHA6,p001256
TCF25,p001257
PDXDC1,p001258
ZHX3,p001259
SETX,p001260
SETD1B,p001261
N4BP3,p001262
FAM168A,p001263
RPRD2,p001264
NUP160,p001265
SPRYD3,p001266
SMG5,p001267
NUP188,p001268
SCRIB,p001269
SPEF1,p001270
COBRA1,p001271
TBC1D10B,p001272
GPATCH4,p001273
PRPF31,p001274
GTPBP5,p001275
GLTSCR1,p001276
COL5A3,p001277
STMN3,p001278
NMD3,p001279
SLC35C2,p001280
FAM158A,p001281
HDGFRP3,p001282
BOLA1,p001283
TRAPPC4,p001284
SHANK1,p001285
