l_ID,p_ID
l00724,p01
l00724,p02
l00725,p02
l00725,p01
l00725,p00
l00726,p01
l00726,p02
l00727,p01
l00728,p01
l00728,p06
l00728,p02
l00729,p01
l00729,p02
l00730,p01
l00730,p02
l00731,p01
l00732,p07
l00732,p02
l00732,p01
l00732,p00
l00732,p05
l00733,p01
l00734,p02
l00735,p02
l00736,p02
l00736,p01
l00737,p01
l00737,p02
l00738,p01
l00739,p01
l00739,p02
l00739,p05
l00740,p02
l00740,p01
l00741,p00
l00741,p02
l00741,p01
l00741,p05
l00742,p02
l00743,p00
l00743,p02
l00743,p01
l00743,p03
l00743,p05
l00744,p02
l00744,p01
l00745,p00
l00745,p08
l00745,p02
l00745,p01
l00745,p18
l00746,p03
l00746,p00
l00746,p02
l00746,p01
l00746,p06
l00746,p05
l00746,p18
l00747,p02
l00747,p01
l00748,p01
l00748,p14
l00749,p00
l00749,p02
l00749,p01
l00749,p06
l00750,p03
l00750,p00
l00750,p02
l00750,p01
l00751,p03
l00751,p00
l00751,p02
l00751,p01
l00751,p06
l00752,p02
l00752,p03
l00752,p00
l00752,p06
l00752,p01
l00753,p03
l00753,p00
l00753,p02
l00753,p06
l00753,p01
l00754,p01
l00754,p02
l00754,p05
l00755,p00
l00755,p01
l00755,p02
l00755,p05
l00756,p00
l00756,p01
l00757,p00
l00757,p04
l00757,p02
l00757,p01
l00758,p30
